Cafe_Id,Cafe_Name,Cafe_Types
1,Take a Break,"['cafe', 'food', 'point_of_interest', 'establishment']"
2,Asda Dagenham Superstore,"['supermarket', 'atm', 'grocery_or_supermarket', 'cafe', 'clothing_store', 'gas_station', 'pharmacy', 'finance', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
3,Becontree Heath Leisure Centre,"['gym', 'cafe', 'school', 'health', 'food', 'point_of_interest', 'establishment']"
4,Harrow Lodge Leisure Centre,"['gym', 'cafe', 'school', 'health', 'food', 'point_of_interest', 'general_contractor', 'establishment']"
5,Eastbrook Cafe & Restuarant,"['restaurant', 'meal_takeaway', 'meal_delivery', 'cafe', 'food', 'point_of_interest', 'establishment']"
6,FIDDLERS CAFE,"['cafe', 'food', 'point_of_interest', 'establishment']"
7,bb's coffee & muffins,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
8,The Park Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
9,Shell,"['gas_station', 'convenience_store', 'car_wash', 'meal_delivery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
10,Morrisons Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
11,bp,"['gas_station', 'atm', 'cafe', 'finance', 'restaurant', 'food', 'point_of_interest', 'establishment']"
12,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
13,Mel's Cafe,"['cafe', 'food', 'point_of_interest', 'establishment']"
14,Patisserie Valerie - Romford,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
15,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
16,Cafe Chateau,"['cafe', 'food', 'point_of_interest', 'establishment']"
17,Café Shot,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
18,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
19,Tea Pot Cafe Romford,"['cafe', 'food', 'point_of_interest', 'establishment']"
20,Caffe Della Continental,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
21,bp,"['gas_station', 'convenience_store', 'atm', 'cafe', 'store', 'finance', 'food', 'point_of_interest', 'establishment']"
22,artsdepot,"['art_gallery', 'cafe', 'food', 'point_of_interest', 'establishment']"
23,"New River Sport, Tennis & Fitness","['gym', 'cafe', 'bar', 'health', 'food', 'point_of_interest', 'establishment']"
24,Sable D'Or,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
25,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
26,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
27,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
28,Costa Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
29,Oak Caffe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
30,Cafe Brunello's,"['cafe', 'food', 'point_of_interest', 'establishment']"
31,Aroma Patisserie,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
32,Sunshine Garden Cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
33,Vero Caffe,"['cafe', 'food', 'point_of_interest', 'establishment']"
34,Em's Coffee,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
35,Xpress Coffee,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']"
36,My Time Delicatessen,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
37,Cibo Bar Cafeteria,"['cafe', 'food', 'point_of_interest', 'establishment']"
38,The Cookie,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
39,Pots of Art,"['cafe', 'food', 'point_of_interest', 'establishment']"
40,Oak Hill Park Cafe,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
41,bp,"['gas_station', 'atm', 'car_wash', 'cafe', 'finance', 'food', 'point_of_interest', 'establishment']"
42,Costa Coffee,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']"
