Borough,Co-ordinates,Converted_Coordinates
Barking and Dagenham,51°33′39″N 0°09′21″E﻿ / ﻿51.5607°N 0.1557°E,"51.5607, 0.1557"
Barnet,51°37′31″N 0°09′06″W﻿ / ﻿51.6252°N 0.1517°W,"51.6252, -0.1517"
Bexley,51°27′18″N 0°09′02″E﻿ / ﻿51.4549°N 0.1505°E,"51.4549, 0.1505"
Brent,51°33′32″N 0°16′54″W﻿ / ﻿51.5588°N 0.2817°W,"51.5588, -0.2817"
Bromley,51°24′14″N 0°01′11″E﻿ / ﻿51.4039°N 0.0198°E,"51.4039, 0.0198"
Camden,51°31′44″N 0°07′32″W﻿ / ﻿51.5290°N 0.1255°W,"51.529, -0.1255"
Croydon,51°22′17″N 0°05′52″W﻿ / ﻿51.3714°N 0.0977°W,"51.3714, -0.0977"
Ealing,51°30′47″N 0°18′32″W﻿ / ﻿51.5130°N 0.3089°W,"51.513, -0.3089"
Enfield,51°39′14″N 0°04′48″W﻿ / ﻿51.6538°N 0.0799°W,"51.6538, -0.0799"
Greenwich,51°29′21″N 0°03′53″E﻿ / ﻿51.4892°N 0.0648°E,"51.4892, 0.0648"
Hackney,51°32′42″N 0°03′19″W﻿ / ﻿51.5450°N 0.0553°W,"51.545, -0.0553"
Hammersmith and Fulham,51°29′34″N 0°14′02″W﻿ / ﻿51.4927°N 0.2339°W,"51.4927, -0.2339"
Haringey,51°36′00″N 0°06′43″W﻿ / ﻿51.6000°N 0.1119°W,"51.6, -0.1119"
Harrow,51°35′23″N 0°20′05″W﻿ / ﻿51.5898°N 0.3346°W,"51.5898, -0.3346"
Havering,51°34′52″N 0°11′01″E﻿ / ﻿51.5812°N 0.1837°E,"51.5812, 0.1837"
Hillingdon,51°32′39″N 0°28′34″W﻿ / ﻿51.5441°N 0.4760°W,"51.5441, -0.476"
Hounslow,51°28′29″N 0°22′05″W﻿ / ﻿51.4746°N 0.3680°W,"51.4746, -0.368"
Islington,51°32′30″N 0°06′08″W﻿ / ﻿51.5416°N 0.1022°W,"51.5416, -0.1022"
Kensington and Chelsea,51°30′07″N 0°11′41″W﻿ / ﻿51.5020°N 0.1947°W,"51.502, -0.1947"
Kingston upon Thames,51°24′31″N 0°18′23″W﻿ / ﻿51.4085°N 0.3064°W,"51.4085, -0.3064"
Lambeth,51°27′39″N 0°06′59″W﻿ / ﻿51.4607°N 0.1163°W,"51.4607, -0.1163"
Lewisham,51°26′43″N 0°01′15″W﻿ / ﻿51.4452°N 0.0209°W,"51.4452, -0.0209"
Merton,51°24′05″N 0°11′45″W﻿ / ﻿51.4014°N 0.1958°W,"51.4014, -0.1958"
Newham,51°30′28″N 0°02′49″E﻿ / ﻿51.5077°N 0.0469°E,"51.5077, 0.0469"
Redbridge,51°33′32″N 0°04′27″E﻿ / ﻿51.5590°N 0.0741°E,"51.559, 0.0741"
Richmond upon Thames,51°26′52″N 0°19′34″W﻿ / ﻿51.4479°N 0.3260°W,"51.4479, -0.326"
Southwark,51°30′13″N 0°04′49″W﻿ / ﻿51.5035°N 0.0804°W,"51.5035, -0.0804"
Sutton,51°21′42″N 0°11′40″W﻿ / ﻿51.3618°N 0.1945°W,"51.3618, -0.1945"
Tower Hamlets,51°30′36″N 0°00′21″W﻿ / ﻿51.5099°N 0.0059°W,"51.5099, -0.0059"
Waltham Forest,51°35′27″N 0°00′48″W﻿ / ﻿51.5908°N 0.0134°W,"51.5908, -0.0134"
Wandsworth,51°27′24″N 0°11′28″W﻿ / ﻿51.4567°N 0.1910°W,"51.4567, -0.191"
Westminster,51°29′50″N 0°08′14″W﻿ / ﻿51.4973°N 0.1372°W,"51.4973, -0.1372"
City of London,51°30′28″N 0°05′43″W / 51.5077°N 0.0953°W,"51.5077, -0.0953"
