Cafe_Name,Cafe_Coordinates,Place_Id,Cafe_Types,Rating,Number_Ratings,Vicinity,Borough_Coordinates,lat,lng
Take a Break,"51.55102600000001, 0.1547964",ChIJP5iSZRul2EcRuLlMBSZy-JY,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,40,"244 Oxlow Lane, Dagenham","51.5607, 0.1557",51.55102600000001,0.1547964
Asda Dagenham Superstore,"51.5301912, 0.1422174",ChIJdwGW-HOl2EcRkRKhL91oI_s,"['supermarket', 'gas_station', 'atm', 'pharmacy', 'cafe', 'grocery_or_supermarket', 'finance', 'clothing_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']",3.6,822,"Merrielands Crescent, Dagenham","51.5607, 0.1557",51.5301912,0.1422174
Becontree Heath Leisure Centre,"51.5609465, 0.1488995",ChIJfRvpP_yk2EcRMHJ8P6PE448,"['gym', 'cafe', 'school', 'food', 'health', 'point_of_interest', 'establishment']",3.6,824,"Althorne Way, Dagenham","51.5607, 0.1557",51.5609465,0.1488995
Harrow Lodge Leisure Centre,"51.5613365, 0.207073",ChIJbz00eCW72EcRv-wkpDkmsGQ,"['cafe', 'gym', 'school', 'general_contractor', 'food', 'health', 'point_of_interest', 'establishment']",3.8,391,"Hornchurch Road, Hornchurch","51.5607, 0.1557",51.5613365,0.207073
Eastbrook Cafe & Restuarant,"51.5508213, 0.1614183",ChIJmSZw6z2l2EcRpS8prTdOqic,"['restaurant', 'meal_delivery', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'establishment']",4.3,91,"264 Rainham Road South, Dagenham","51.5607, 0.1557",51.5508213,0.1614183
FIDDLERS CAFE,"51.5603893, 0.1472634",ChIJnSemhv6k2EcR9ybePKhA6Es,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,97,"686 Becontree Avenue, Dagenham","51.5607, 0.1557",51.5603893,0.1472634
bb's coffee & muffins,"51.5793087, 0.185747",ChIJw0exmLWk2EcRxHSOqVLdhDo,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",3.9,265,"25-26 The Mercury Shopping Centre, Romford","51.5607, 0.1557",51.5793087,0.185747
The Park Cafe,"51.5845796, 0.1679879",ChIJmxBxcL2k2EcRBPbuxzhEjbs,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,147,"King Georges Playing Fields Car Park, Eastern Avenue West, Romford","51.5607, 0.1557",51.5845796,0.1679879
Shell,"51.560415, 0.1483637",ChIJI_k0xwGl2EcRAuS_d1XUIm4,"['gas_station', 'car_wash', 'convenience_store', 'meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2.8,33,"Wood Lane, Dagenham","51.5607, 0.1557",51.560415,0.1483637
Morrisons Cafe,"51.560107, 0.148194",ChIJHcUMy_2k2EcRi08StUy8GOQ,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,234,"Beacontree Heath, Dagenham","51.5607, 0.1557",51.560107,0.148194
bp,"51.5657886, 0.1769919",ChIJJ9Aiktqk2EcRkkktIFPy7Ng,"['gas_station', 'atm', 'cafe', 'finance', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.4,17,"Rush Green Road, Romford","51.5607, 0.1557",51.5657886,0.1769919
Costa Coffee,"51.54631500000001, 0.167304",ChIJVaUoVD2l2EcR5i7ZiZxIamI,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.4,309,"East Business And Technical Park, Drive Thru, Drive Thru, Unit 1C, London, Yew Tree Avenue, Dagenham","51.5607, 0.1557",51.54631500000001,0.167304
