Place_Id,Rating,Number_Ratings
ChIJP5iSZRul2EcRuLlMBSZy-JY,4.0,40
ChIJdwGW-HOl2EcRkRKhL91oI_s,3.6,822
ChIJfRvpP_yk2EcRMHJ8P6PE448,3.6,824
ChIJbz00eCW72EcRv-wkpDkmsGQ,3.8,391
ChIJmSZw6z2l2EcRpS8prTdOqic,4.3,91
ChIJnSemhv6k2EcR9ybePKhA6Es,4.3,97
ChIJw0exmLWk2EcRxHSOqVLdhDo,3.9,265
ChIJmxBxcL2k2EcRBPbuxzhEjbs,4.4,147
ChIJI_k0xwGl2EcRAuS_d1XUIm4,2.8,33
ChIJHcUMy_2k2EcRi08StUy8GOQ,4.0,234
ChIJJ9Aiktqk2EcRkkktIFPy7Ng,1.4,17
ChIJVaUoVD2l2EcR5i7ZiZxIamI,4.4,309
ChIJDbURO8yk2EcRXuerEHrAuxw,4.7,220
ChIJ5zHF98ik2EcRIHy8nGLOzRc,3.9,687
ChIJ3ZZSM8ik2EcRb_mKxIpJ1Gc,4.1,481
ChIJ6d55Nbak2EcRHzo7VFfrkmI,4.4,151
ChIJWZiKoumk2EcR6oiARs03Iis,4.6,113
ChIJ95BU_kek2EcRjE6XVfHFYXw,4.2,565
ChIJ9cyXebak2EcRJeRja8SMOa0,4.2,91
ChIJc_JIoLWk2EcR58mbBv-WHrM,4.0,235
ChIJTYFDde8ZdkgR9KCXadpVz18,3.9,49
ChIJB_gqY-8ZdkgRU6aKu6Fdqfk,4.5,987
ChIJ_els_lMZdkgRSSLrKRSAxxY,3.9,151
ChIJe8io5ywadkgRuYAsxazLI88,4.1,206
ChIJ4Y0CjM8ZdkgR-S2eowdOLWE,3.9,288
ChIJacjKtiIadkgRfU5V88DMpew,4.0,285
ChIJOUm63iwadkgRwG_lEUctXlo,4.1,314
ChIJH_fo_o4ZdkgRHJ1nb4BaGOQ,4.0,42
ChIJwauucMUZdkgRz414hwIbOfs,4.5,484
ChIJl8UkZS0ZdkgRWpC9V9_jxyQ,4.7,198
ChIJlY7w3UQZdkgRaE1gxX-VUIA,4.6,441
ChIJo4ajzTAYdkgRn_gi8BQlMFM,4.2,42
ChIJBRutLV8XdkgRnRZvEHzi_H0,4.2,403
ChIJ04O-vs8ZdkgRXhviichG68M,4.2,368
ChIJWzl2D8sZdkgRn6OTL_F81hg,4.8,5
ChIJY8nh7UcZdkgRGG-KBAMnM1w,4.7,110
ChIJaakfbBQZdkgRWdTh_OG_GT8,4.5,149
ChIJTy0AbfsYdkgRAuDOqHjfIdw,4.7,43
ChIJKRW7ubgZdkgRkVY2INArxxo,4.0,2
ChIJq2c410oYdkgREmElQfJjAmo,4.1,405
ChIJDSRYM7Wv2EcR_XRCsanQQLo,2.6,63
ChIJNfJno16u2EcRJjvruvEL094,4.0,456
ChIJ9RXQG5Sx2EcRWTG7YWpWpYc,4.2,1243
ChIJkwDoLWWu2EcR7ajmLxyDRzQ,4.5,115
ChIJ6-KsMLWv2EcRGwmnwCigq8w,4.5,197
ChIJ-9mlxyKu2EcRVHxnICHG6GI,4.5,85
ChIJ04VP1dqu2EcRajwudSrobUY,4.3,190
ChIJ69rfpV6u2EcReSrHDYdB3rI,4.5,71
ChIJFaDu0F6u2EcRDnSTuG_K3VQ,4.3,347
ChIJO6w2Sl-u2EcRL44zoSzYINc,3.6,508
ChIJb8EVVV-u2EcRPOfev6EhciU,4.7,462
ChIJzfaBhiKu2EcRkkbChv7B4iU,4.7,142
ChIJ__f-Uh-u2EcR-WcZuuKGAFE,4.3,172
ChIJFxTEAr6u2EcRXddnz0-kNG0,4.1,100
ChIJKXGZMMOu2EcRgfM51IDaxlg,4.8,172
ChIJ3aoEt8Su2EcRaZU3vcOdrO0,4.2,115
ChIJoxv-tdqu2EcRAzVx5TEg1tU,4.7,199
ChIJb90Tubeu2EcRYIMvHOeDJdc,4.2,212
ChIJSW9qE7iv2EcR0P5LDTdT3EM,4.3,309
ChIJG4Fz7qiu2EcRMJg2HFHaJKI,3.8,19
ChIJP1sJ24sRdkgRub025F6UBxU,4.5,5503
ChIJvdO_R_MRdkgRztxcqEwrrtQ,4.3,400
ChIJb_iYL-4RdkgRfILoKI4ebYM,3.5,1045
ChIJRRYSm3oRdkgRS-5hMF5b8Ew,3.7,1204
ChIJBWXObnQTdkgRsYxXc4yemBQ,4.2,468
ChIJg4wor8IRdkgRgAwqnD6Ri8g,4.1,2728
ChIJmQH8mWAQdkgRJ0HPM_T9Q6E,3.9,152
ChIJ8W0wI7kRdkgRW6-1ys1qqyk,4.7,115
ChIJpx1MM0ERdkgRcu4svZ7f78Q,4.4,62
ChIJnXFthq4RdkgRl3ZrMaca4iM,4.5,109
ChIJ9zXBzn8RdkgRY_Q5iQzWOVo,3.9,444
ChIJEW0d_H8RdkgR5DV-jXPeitQ,4.0,582
ChIJS2ixB4ARdkgRU_EEtQRK1fc,4.2,341
ChIJ-aPOTu8TdkgRRsfsbQRa5GQ,4.2,769
